Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank,European Rank
France,FRA,FRA1,Albertine,Devillers,1,2,1,2,2,0,8,,,72,54
France,FRA,FRA2,Clara,Ding,7,4,0,4,6,0,21,Silver Medal,,22,18
France,FRA,FRA3,Myriam,Qrichi Aniba,1,0,0,0,2,0,3,,,91,71
France,FRA,FRA4,Lucie,Wang,7,4,0,7,7,0,25,Silver Medal,,13,9
Hungary,HUN,HUN1,Zsuzsanna,Baran,7,5,7,3,7,0,29,Gold Medal,,7,6
Hungary,HUN,HUN2,Panna,Fekete,7,0,1,7,7,0,22,Silver Medal,,21,17
Hungary,HUN,HUN3,Szuzina,Gyulai-Nagy,7,3,2,3,0,1,16,Bronze Medal,,35,29
Hungary,HUN,HUN4,Sára,Khayouti,7,1,7,1,7,0,23,Silver Medal,,17,13
India,IND,IND1,Pranjal,Warade,7,2,0,7,0,0,16,Bronze Medal,,35,
India,IND,IND2,Raagini,Patki,2,1,0,1,0,3,7,,,78,
Ireland,IRL,IRL1,Toni Aidong,Huang,1,1,0,1,0,0,3,,,91,71
Ireland,IRL,IRL2,Ioana,Grigoras,1,1,0,0,0,0,2,,,97,76
Ireland,IRL,IRL3,Anna,Mustata,7,3,0,3,7,0,20,Silver Medal,,27,22
Ireland,IRL,IRL4,Katie Louise,O'Connor,1,2,0,0,1,0,4,,,86,66
Italy,ITA,ITA1,Camilla,Casamento Tumeo,6,3,0,7,0,0,16,Bronze Medal,,35,29
Italy,ITA,ITA2,Giulia,Cornali,7,3,0,1,1,0,12,Bronze Medal,,53,39
Italy,ITA,ITA3,Morena,Porzio,7,0,1,3,1,0,12,Bronze Medal,,53,39
Italy,ITA,ITA4,Vittoria,Ricciuti,1,0,0,7,0,0,8,Honourable Mention,,72,54
Japan,JPN,JPN1,Yurika,Hirobe,7,2,0,4,3,0,16,Bronze Medal,,35,
Japan,JPN,JPN2,Mayuko,Kori,7,2,0,1,0,3,13,Bronze Medal,,49,
Japan,JPN,JPN3,Maya,Ogita,7,5,0,7,7,0,26,Gold Medal,,11,
Japan,JPN,JPN4,Yuika,Shimo,1,1,0,7,0,3,12,Bronze Medal,,53,
Lithuania,LTU,LTU1,Vaiva,Augustinaitė,1,3,0,3,2,0,9,,,66,51
Lithuania,LTU,LTU2,Leticija,Dubickaitė,1,0,0,4,0,0,5,,,83,63
Lithuania,LTU,LTU3,Aistė,Grušnytė,1,0,0,3,1,0,5,,,83,63
Lithuania,LTU,LTU4,Neringa,Levinskaitė,7,1,7,2,3,0,20,Silver Medal,,27,22
Luxembourg,LUX,LUX1,Tara,Trauthwein,7,2,0,7,1,0,17,Bronze Medal,,34,28
Latvia,LVA,LVA1,Annija,Varkale,1,0,0,0,0,0,1,,,103,80
Latvia,LVA,LVA2,Darta,Rituma,1,0,1,1,1,0,4,,,86,66
Latvia,LVA,LVA3,Annija,Katkevica,1,0,0,0,0,0,1,,,103,80
Latvia,LVA,LVA4,Loreta,Rutkovska,1,0,0,2,0,0,3,,,91,71
Republic of Moldova,MDA,MDA1,Nicoleta,Mahu,5,0,0,5,1,0,11,Bronze Medal,,57,42
Republic of Moldova,MDA,MDA2,Elvira,Serdtevoi,7,0,0,5,1,0,13,Bronze Medal,,49,37
Mexico,MEX,MEX1,María Cecilia,Rojas Cuadra,7,3,0,3,7,0,20,Silver Medal,,27,
Mexico,MEX,MEX2,Olga,Medrano Martín del Campo,7,3,2,1,3,0,16,Bronze Medal,,35,
Mexico,MEX,MEX3,Alka Xavier,Earathu,7,4,0,1,1,0,13,Bronze Medal,,49,
Mexico,MEX,MEX4,Naomi,Mastache López,7,1,0,4,2,0,14,Bronze Medal,,45,
The former Yugoslav Republic of Macedonia,MKD,MKD1,Sanja,Simonovikj,7,0,0,0,0,0,7,Honourable Mention,,78,59
The former Yugoslav Republic of Macedonia,MKD,MKD2,Tea,Stoilkovska,1,0,0,3,0,0,4,,,86,66
The former Yugoslav Republic of Macedonia,MKD,MKD3,Teodora,Bujaroska,7,0,0,6,1,0,14,Bronze Medal,,45,35
The former Yugoslav Republic of Macedonia,MKD,MKD4,Anastasija,Trajanova,1,0,0,0,0,0,1,,,103,80
Netherlands,NLD,NLD1,Eva,NLD1-2014,1,1,1,7,0,0,10,Honourable Mention,,61,46
Netherlands,NLD,NLD2,Christel,van Diepen,1,0,1,0,0,0,2,,,97,76
Netherlands,NLD,NLD3,Kirsten,Peeters,1,2,0,0,1,0,4,,,86,66
Netherlands,NLD,NLD4,Elise,Sänger,1,1,0,0,7,0,9,Honourable Mention,,66,51
Norway,NOR,NOR1,Kari Lovise,Lodsby,1,3,1,1,2,0,8,,,72,54
Norway,NOR,NOR2,Anna,Lyubarskaja,0,0,0,7,2,0,9,Honourable Mention,,66,51
Norway,NOR,NOR3,Weronika,Wrzos-Kaminska,0,0,0,0,2,0,2,,,97,76
Poland,POL,POL1,Anna,Czerwińska,2,1,0,7,2,0,12,Bronze Medal,,53,39
Poland,POL,POL2,Aleksandra,Mnich,7,2,0,5,0,0,14,Bronze Medal,,45,35
Poland,POL,POL3,Bogna,Pawlus,7,3,4,0,2,2,18,Bronze Medal,,31,25
Poland,POL,POL4,Dominika,Regiec,7,3,0,7,0,1,18,Bronze Medal,,31,25
Romania,ROU,ROU1,Simona,Diaconu,7,1,1,7,7,7,30,Gold Medal,,6,5
Romania,ROU,ROU2,Maria Romina,Ivan,7,0,0,7,0,7,21,Silver Medal,,22,18
Romania,ROU,ROU3,Ioana Alexandra,Teodorescu,7,0,6,7,2,7,29,Gold Medal,,7,6
Romania,ROU,ROU4,Raluca,Cobzaru,7,2,0,7,0,0,16,Bronze Medal,,35,29
Saudi Arabia,SAU,SAU1,Shaden,Alshammari,7,5,0,0,2,0,14,Bronze Medal,,45,
Saudi Arabia,SAU,SAU2,Omniyyah,Khawjah,1,0,0,0,0,0,1,,,103,
Saudi Arabia,SAU,SAU3,Amal,Meer,7,0,1,0,1,0,9,Honourable Mention,,66,
Saudi Arabia,SAU,SAU4,Joud,Saleh,7,2,0,0,0,0,9,Honourable Mention,,66,
Serbia,SRB,SRB1,Anđela,Šarković,7,7,4,7,7,1,33,Gold Medal,,5,4
Serbia,SRB,SRB2,Bogdana,Jelić,7,6,1,7,3,3,27,Gold Medal,,9,8
Serbia,SRB,SRB3,Marijana,Vujadinović,7,0,2,7,1,7,24,Silver Medal,,16,12
Serbia,SRB,SRB4,Kristina,Silađi,7,0,0,7,1,0,15,Bronze Medal,,42,33
Switzerland,SUI,SUI1,Viera,Klasovita,1,0,0,2,0,0,3,,,91,71
Switzerland,SUI,SUI2,Melina,Lüthi,1,0,0,2,0,0,3,,,91,71
Switzerland,SUI,SUI3,Therese,Moerschell,1,0,0,0,0,0,1,,,103,80
Switzerland,SUI,SUI4,Stefanie,Zbinden,7,4,1,1,5,0,18,Bronze Medal,,31,25
Slovenia,SVN,SVN1,Klara,Drofenik,1,3,0,0,2,0,6,,,81,61
Slovenia,SVN,SVN2,Martina,Lokar,1,0,0,0,0,0,1,,,103,80
Slovenia,SVN,SVN3,Klara,Nosan,1,2,0,7,0,0,10,Honourable Mention,,61,46
Slovenia,SVN,SVN4,Timeja,Strašek,7,0,0,0,0,0,7,Honourable Mention,,78,59
Tunisia,TUN,TUN1,Nada,Saaidia,1,0,1,1,0,0,3,,,91,
Tunisia,TUN,TUN2,Nour Elhouda,Sabbagh,1,0,0,1,0,0,2,,,97,
Türkiye,TUR,TUR1,Feyza,Duman,7,0,2,7,7,0,23,Silver Medal,,17,13
Türkiye,TUR,TUR2,Çağıl,Kalender,7,3,0,7,3,0,20,Silver Medal,,27,22
Türkiye,TUR,TUR3,Melike Ayşegül,Kara,7,3,1,7,7,0,25,Silver Medal,,13,9
Türkiye,TUR,TUR4,Ayşe Pelin,Özcan,7,0,1,3,2,0,13,Bronze Medal,,49,37
Ukraine,UKR,UKR1,Anastasiya,Alokhina,7,7,7,7,7,0,35,Gold Medal,,4,3
Ukraine,UKR,UKR2,Sofiya,Dubova,7,7,7,7,7,6,41,Gold Medal,,2,1
Ukraine,UKR,UKR3,Nataliia,Khotiaintseva,7,5,7,7,7,7,40,Gold Medal,,3,2
Ukraine,UKR,UKR4,Olga,Silina,7,6,0,7,3,0,23,Silver Medal,,17,13
United Kingdom,UNK,UNK1,Olivia,Aaronson,1,0,6,7,7,0,21,Silver Medal,,22,18
United Kingdom,UNK,UNK2,Rosie,Cates,1,3,0,1,6,0,11,Bronze Medal,,57,42
United Kingdom,UNK,UNK3,Kirsten,Land,1,2,0,7,0,0,10,Honourable Mention,,61,46
United Kingdom,UNK,UNK4,Joanna,Yass,7,2,0,1,1,0,11,Bronze Medal,,57,42
United States of America,USA,USA1,Meghal,Gupta,1,3,0,7,7,3,21,Silver Medal,,22,
United States of America,USA,USA2,Celine,Liang,7,4,0,7,2,7,27,Gold Medal,,9,
United States of America,USA,USA3,Danielle,Wang,7,7,7,7,7,7,42,Gold Medal,,1,
United States of America,USA,USA4,Rachelle,Zhang,6,5,7,7,1,0,26,Gold Medal,,11,
